noteId	participantId	createdAtMillis	agree	disagree	helpful	notHelpful	helpfulOther	helpfulInformative	helpfulClear	helpfulEmpathetic	helpfulGoodSources	helpfulUniqueContext	notHelpfulOther	notHelpfulIncorrect	notHelpfulSourcesMissingOrUnreliable	notHelpfulOpinionSpeculationOrBias	notHelpfulMissingKeyPoints	notHelpfulOutdated	notHelpfulHardToUnderstand	notHelpfulArgumentativeOrInflammatory	notHelpfulOffTopic	notHelpfulSpamHarassmentOrAbuse
1352796878438424576	7585B8804A32416E91E51837F351F249	1611388222120	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
1352796878438424576	0D7ED07D5421118311EEED5E4ECF2968	1611860252442	1	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
1352796878438424576	7644DF3FD853416F0C96933CCC1BA9B7	1611796572477	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
1352796878438424576	628C786C63B5A4D32E13C6C442E1863D	1611623203338	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1352796878438424576	EFD7E04E740224D2DDB42A2C910B62C1	1611852744990	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1352796878438424576	3C9A15EEA8FD238754BE28C15B26709A	1611673955881	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1352796878438424576	0466BA47B23AAAB301AA767C4C780E8D	1611523319844	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
1353415873227177985	3C9A15EEA8FD238754BE28C15B26709A	1611673979295	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1353415873227177985	7585B8804A32416E91E51837F351F249	1611624696934	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1353415873227177985	6B6171E803FBBF58397EC4A0AF76A2FF	1611523337816	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
1353415873227177985	A9C8E4572500D4AFF54A8ADBB14734AC	1611857463930	1	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
1353415873227177985	628C786C63B5A4D32E13C6C442E1863D	1611714621620	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1353415873227177985	7644DF3FD853416F0C96933CCC1BA9B7	1611796559743	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1
1353415873227177985	0D7ED07D5421118311EEED5E4ECF2968	1611860203635	1	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
1354590891764293637	7585B8804A32416E91E51837F351F249	1611801157938	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1354600130578624514	46FC5C3B8F8080277403FF446C9B85F7	1611856441636	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
1354600130578624514	3BC97E035DB02C77B742115AE9155E07	1611852309770	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1354600130578624514	A8BEEA543616AED8F43C9E1A3E609A0A	1611853160114	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1354600130578624514	7585B8804A32416E91E51837F351F249	1611799433709	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
